Orthogroup_ID	transcript_ID_native	Flybase	Flybase_summary	CAFE_p-value	I_luminosus_num_GF_members	A_verrucosus_num_GF_members	P_pyralis_num_GF_members	D_ponderosae_num_GF_members	B_siliquastri_num_GF_members	A_obtectus_num_GF_members	C_chinensis_num_GF_members	Z_morio_num_GF_members	D_melanogaster_num_GF_members	R_ferrugineus_num_GF_members	C_septempunctata_num_GF_members	T_castaneum_num_GF_members	C_maculatus_num_GF_members	T_molitor_num_GF_members	max_delta_GF
N0.HOG0000285	rna-NM_001274111.1	FBgn0010226	The gene Glutathione S transferase S1 is referred to in FlyBase by the symbol Dmel\GstS1 (CG8938, FBgn0010226). It is a protein_coding_gene from Dmel. It has 4 annotated transcripts and 4 polypeptides (2 unique). Gene sequence location is 2R:17093246..17099501. Its molecular function is described by: glutathione transferase activity; prostaglandin-D synthase activity; glutathione peroxidase activity. It is involved in the biological process described with: glutathione metabolic process. 76 alleles are reported. The phenotypes of these alleles manifest in: macrochaeta; wing; embryonic/larval hemocyte; eye. The phenotypic classes of alleles include: viable; increased mortality during development; increased mortality; phenotype. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of extremely high expression to a trough of moderately high expression.  Peak expression observed during late pupal stages.  		0.0	3	12	8	3	2	6	3	23	1	5	1	6	3	10	22
N0.HOG0000298	rna-NM_141595.3	FBgn0260243	The gene Enhancer of variegation 3-9 is referred to in FlyBase by the symbol Dmel\E(var)3-9 (CG11971, FBgn0260243). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:8990645..8992949. Its molecular function is described by: zinc ion binding. It is involved in the biological process described with: chromatin organization; positive regulation of transcription by RNA polymerase II. 15 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: flightless; modifier of variegation; phenotype; suppressor of variegation. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of low expression.  Peak expression observed within 00-06 hour embryonic stages.  		0.0	1	5	2	6	5	3	4	10	1	6	2	3	29	4	28
N0.HOG0000300	rna-NM_001316600.1	FBgn0261840	This gene is referred to in FlyBase by the symbol Dmel\pre-mod(mdg4)-X (CG42772, FBgn0261840). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 3R:21365609..21369330. Its molecular function is described by: . It is involved in the biological process described with: . 2 alleles are reported. No phenotypic data is available. No phenotypic class data is available. Summary of modENCODE Temporal Expression Profile:  No temporal expression data available due to processing error.  This will be corrected the next time these data and summaries are processed.		0.0	22	1	27	1	1	1	1	7	1	1	1	1	20	6	26
N0.HOG0000307	rna-NM_001169957.1	FBgn0259748	This gene is referred to in FlyBase by the symbol Dmel\CG42397 (FBgn0259748). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:11973085..11973790. Its molecular function is described by: chitin binding. The biological processes in which it is involved are not known. One allele is reported. No phenotypic data is available. No phenotypic class data is available. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of no expression detected.  Peak expression observed in adults stages of both sexes.  		0.0	1	5	1	3	3	5	3	13	1	10	1	3	2	10	12
N0.HOG0000317	rna-NM_001259539.2	FBgn0034761	This gene is referred to in FlyBase by the symbol Dmel\CG4250 (FBgn0034761). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (all unique). Gene sequence location is 2R:22663692..22664474. Its molecular function is described by: zinc ion binding. It is involved in the biological process described with: . 6 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: viable; partially lethal. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of extremely low expression.  Peak expression observed during early pupal stages.  		0.001	16	2	6	1	1	1	1	0	3	6	1	1	1	1	16
N0.HOG0000317	rna-NM_001316431.1	FBgn0050269	This gene is referred to in FlyBase by the symbol Dmel\CG30269 (FBgn0050269). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 2R:22667155..22668848. Its molecular function is described by: zinc ion binding. It is involved in the biological process described with: . 4 alleles are reported. The phenotype of these alleles manifest in: trichogen cell. The phenotypic classes of alleles include: viable; visible. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of very low expression.  Peak expression observed within 12-24 hour embryonic stages, at stages throughout the larval period, during early pupal stages, in adult male stages.  		0.001	16	2	6	1	1	1	1	0	3	6	1	1	1	1	16
N0.HOG0000317	rna-NM_166542.4	FBgn0050273	This gene is referred to in FlyBase by the symbol Dmel\CG30273 (FBgn0050273). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:22667155..22668848. Its molecular function is described by: zinc ion binding. It is involved in the biological process described with: . 3 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of extremely low expression.  Peak expression observed within 12-24 hour embryonic stages, at stages throughout the larval period, at stages throughout the pupal period, in adult male stages.  		0.001	16	2	6	1	1	1	1	0	3	6	1	1	1	1	16
N0.HOG0000345	rna-NM_001144751.2	FBgn0031144	This gene is referred to in FlyBase by the symbol Dmel\CG1529 (FBgn0031144). It is a protein_coding_gene from Dmel. It has 3 annotated transcripts and 3 polypeptides (2 unique). Gene sequence location is X:21028652..21031950. Its molecular function is described by: DNA-binding transcription factor activity, RNA polymerase II-specific; zinc ion binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription repressor activity, RNA polymerase II-specific. It is involved in the biological process described with: regulation of transcription by RNA polymerase II; negative regulation of transcription by RNA polymerase II. 8 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of low expression.  Peak expression observed within 00-06 hour embryonic stages.  		0.0	4	1	1	1	11	6	1	0	1	5	1	0	15	0	15
N0.HOG0000350	rna-NM_001032224.2	FBgn0024293	The gene Serpin 43Ab is referred to in FlyBase by the symbol Dmel\Spn43Ab (CG1865, FBgn0024293). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:7151662..7153642. Its molecular function is unknown. It is involved in the biological process described with: sexual reproduction. 10 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: some die during pupal stage; partially lethal - majority die; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of extremely low expression.  Peak expression observed within 18-24 hour embryonic stages, during early larval stages, during late pupal stages, in adult male stages.  		0.0	10	4	3	1	1	2	1	23	16	1	1	2	5	3	22
N0.HOG0000350	rna-NM_135497.3	FBgn0032178	The gene Serpin 31A is referred to in FlyBase by the symbol Dmel\Spn31A (CG4804, FBgn0032178). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:10060816..10063925. Its molecular function is unknown. It is involved in the biological process described with: regulation of immune response. 9 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of extremely low expression.  Peak expression observed during late pupal stages.  		0.0	10	4	3	1	1	2	1	23	16	1	1	2	5	3	22
N0.HOG0000350	rna-NM_080066.3	FBgn0024294	The gene Serpin 43Aa is referred to in FlyBase by the symbol Dmel\Spn43Aa (CG12172, FBgn0024294). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:7147692..7149289. Its molecular function is described by: serine-type endopeptidase inhibitor activity. It is involved in the biological process described with: secondary branching, open tracheal system; negative regulation of proteolysis. 9 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of extremely high expression to a trough of extremely low expression.  Peak expression observed during early pupal stages.  		0.0	10	4	3	1	1	2	1	23	16	1	1	2	5	3	22
N0.HOG0000350	rna-NM_080112.2	FBgn0002930	The gene necrotic is referred to in FlyBase by the symbol Dmel\nec (CG1857, FBgn0002930). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:7156477..7158241. Its molecular function is described by: serine-type endopeptidase inhibitor activity. It is involved in the biological process described with: negative regulation of innate immune response; response to fungus; regulation of immune response; negative regulation of Toll receptor ligand protein activation cascade; negative regulation of proteolysis. 39 alleles are reported. The phenotypes of these alleles manifest in: adult epidermis; adult integumentary system; leg joint. The phenotypic classes of alleles include: increased mortality; increased mortality during development; non-suppressor of variegation; phenotype. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of extremely low expression.  Peak expression observed at stages throughout the pupal period, in stages of adults of both sexes.  		0.0	10	4	3	1	1	2	1	23	16	1	1	2	5	3	22
N0.HOG0000350	rna-NM_136402.4	FBgn0033115	The gene Serpin 42De is referred to in FlyBase by the symbol Dmel\Spn42De (CG9460, FBgn0033115). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (all unique). Gene sequence location is 2R:6885552..6888262. Its molecular function is described by: serine-type endopeptidase inhibitor activity. It is involved in the biological process described with: negative regulation of proteolysis. 8 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: abnormal pain response; viable; short lived. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of very low expression.  Peak expression observed within 06-18 hour embryonic stages.  		0.0	10	4	3	1	1	2	1	23	16	1	1	2	5	3	22
N0.HOG0000350	rna-NM_001259225.2	FBgn0033113	The gene Serpin 42Dc is referred to in FlyBase by the symbol Dmel\Spn42Dc (CG9455, FBgn0033113). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 2R:6880995..6883407. Its molecular function is described by: serine-type endopeptidase inhibitor activity. It is involved in the biological process described with: negative regulation of proteolysis; regulation of immune response. 6 alleles are reported. The phenotype of these alleles manifest in: wing vein. The phenotypic classes of alleles include: visible; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of very low expression.  Peak expression observed during late larval stages, in adult male stages.  		0.0	10	4	3	1	1	2	1	23	16	1	1	2	5	3	22
N0.HOG0000350	rna-NM_001299373.1	FBgn0033574	The gene Serpin 47C is referred to in FlyBase by the symbol Dmel\Spn47C (CG7722, FBgn0033574). It is a protein_coding_gene from Dmel. It has 3 annotated transcripts and 3 polypeptides (1 unique). Gene sequence location is 2R:10938425..10941738. Its molecular function is unknown. It is involved in the biological process described with: regulation of immune response; sexual reproduction. 4 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of no expression detected.  Peak expression observed during early pupal stages, in adult male stages.  		0.0	10	4	3	1	1	2	1	23	16	1	1	2	5	3	22
N0.HOG0000350	rna-NM_080218.5	FBgn0028987	The gene Serpin 28F is referred to in FlyBase by the symbol Dmel\Spn28F (CG8137, FBgn0028987). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:8240414..8241800. Its molecular function is described by: hormone binding; serine-type endopeptidase inhibitor activity. It is involved in the biological process described with: sexual reproduction; negative regulation of proteolysis. 12 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: viable; lethal; abnormal pain response. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of no expression detected.  Peak expression observed in adult male stages.  		0.0	10	4	3	1	1	2	1	23	16	1	1	2	5	3	22
N0.HOG0000350	rna-NM_080217.4	FBgn0028986	The gene Serpin 38F is referred to in FlyBase by the symbol Dmel\Spn38F (CG9334, FBgn0028986). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (all unique). Gene sequence location is 2L:20836621..20837985. Its molecular function is described by: serine-type endopeptidase inhibitor activity. It is involved in the biological process described with: defense response to Gram-negative bacterium; sexual reproduction; negative regulation of proteolysis. 12 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: lethal - all die during pupal stage; lethal; partially lethal; short lived; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of no expression detected.  Peak expression observed in adult male stages.  		0.0	10	4	3	1	1	2	1	23	16	1	1	2	5	3	22
N0.HOG0000350	rna-NM_001273280.1	FBgn0083141	The gene Serpin 28B is referred to in FlyBase by the symbol Dmel\Spn28B (CG6717, FBgn0083141). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 2L:7581924..7583333. Its molecular function is described by: serine-type endopeptidase inhibitor activity. It is involved in the biological process described with: negative regulation of proteolysis; sexual reproduction. 7 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of no expression detected.  Peak expression observed in adult male stages.  		0.0	10	4	3	1	1	2	1	23	16	1	1	2	5	3	22
N0.HOG0000350	rna-NM_001042880.1	FBgn0051902	The gene Serpin 28Da is referred to in FlyBase by the symbol Dmel\Spn28Da (CG31902, FBgn0051902). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:7887693..7889129. Its molecular function is described by: serine-type endopeptidase inhibitor activity. It is involved in the biological process described with: sexual reproduction; negative regulation of proteolysis. 8 alleles are reported. No phenotypic data is available. No phenotypic class data is available. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of no expression detected.  Peak expression observed in adult male stages.  		0.0	10	4	3	1	1	2	1	23	16	1	1	2	5	3	22
N0.HOG0000350	rna-NM_001370007.1	FBgn0053121	The gene Serpin 28Db is referred to in FlyBase by the symbol Dmel\Spn28Db (CG33121, FBgn0053121). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:7889288..7890704. Its molecular function is unknown. It is involved in the biological process described with: sexual reproduction. 4 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of low expression to a trough of no expression detected.  Peak expression observed in adult male stages.  		0.0	10	4	3	1	1	2	1	23	16	1	1	2	5	3	22
N0.HOG0000350	rna-NM_001169596.3	FBgn0028988	The gene Serpin 42Dd is referred to in FlyBase by the symbol Dmel\Spn42Dd (CG9456, FBgn0028988). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:6883280..6884873. Its molecular function is described by: serine-type endopeptidase inhibitor activity. It is involved in the biological process described with: negative regulation of Toll receptor ligand protein activation cascade; negative regulation of antifungal innate immune response; negative regulation of antimicrobial peptide production; sexual reproduction; negative regulation of proteolysis. 10 alleles are reported. The phenotypes of these alleles manifest in: Z disc; sarcomere; myofibril. The phenotypic classes of alleles include: flightless; viable; abnormal immune response. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of no expression detected.  Peak expression observed during late larval stages, at stages throughout the pupal period, in adult male stages.  		0.0	10	4	3	1	1	2	1	23	16	1	1	2	5	3	22
N0.HOG0000350	rna-NM_080214.4	FBgn0028983	The gene Serpin 55B is referred to in FlyBase by the symbol Dmel\Spn55B (CG10913, FBgn0028983). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:18126347..18128210. Its molecular function is described by: serine-type endopeptidase inhibitor activity. It is involved in the biological process described with: regulation of immune response; negative regulation of proteolysis. 8 alleles are reported. The phenotype of these alleles manifest in: mesonotum. The phenotypic classes of alleles include: phenotype; some die during P-stage; lethal; increased mortality during development. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of low expression.  Peak expression observed within 12-24 hour embryonic stages, at stages throughout the larval period.  		0.0	10	4	3	1	1	2	1	23	16	1	1	2	5	3	22
N0.HOG0000350	rna-NM_080216.3	FBgn0265137	The gene Serpin 42Da is referred to in FlyBase by the symbol Dmel\Spn42Da (CG9453, FBgn0265137). It is a protein_coding_gene from Dmel. It has 11 annotated transcripts and 11 polypeptides (8 unique). Gene sequence location is 2R:6875906..6878927. Its molecular function is described by: serine-type endopeptidase inhibitor activity; cysteine-type endopeptidase inhibitor activity. It is involved in the biological process described with: negative regulation of protein processing; negative regulation of peptide hormone processing; regulation of immune response. 13 alleles are reported. The phenotype of these alleles manifest in: cephalopharyngeal skeleton. The phenotypic classes of alleles include: phenotype; increased mortality during development; lethal - all die before end of pupal stage; increased mortality.	0.0	10	4	3	1	1	2	1	23	16	1	1	2	5	3	22
N0.HOG0000350	rna-NM_136400.3	FBgn0033112	The gene Serpin 42Db is referred to in FlyBase by the symbol Dmel\Spn42Db (CG9454, FBgn0033112). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (all unique). Gene sequence location is 2R:6879285..6880770. Its molecular function is described by: serine-type endopeptidase inhibitor activity. It is involved in the biological process described with: regulation of immune response; negative regulation of proteolysis. 4 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of extremely low expression.  Peak expression observed during late larval stages.  		0.0	10	4	3	1	1	2	1	23	16	1	1	2	5	3	22
N0.HOG0000355	rna-NM_142964.3	FBgn0039156	This gene is referred to in FlyBase by the symbol Dmel\CG6178 (FBgn0039156). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:24152347..24154896. Its molecular function is described by: long-chain fatty acid-CoA ligase activity; CoA-ligase activity. It is involved in the biological process described with: fatty-acyl-CoA biosynthetic process; acyl-CoA metabolic process; long-chain fatty acid metabolic process. 10 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: viable; fertile. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of low expression.  Peak expression observed within 00-06 hour embryonic stages, at stages throughout the larval period, in adult female stages.  		0.001	12	7	12	2	3	3	5	6	1	2	3	3	9	9	11
N0.HOG0000356	rna-NM_001103877.2	FBgn0085218	This gene is referred to in FlyBase by the symbol Dmel\CG34189 (FBgn0085218). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:16754444..16754925. Its molecular function is described by: protein homodimerization activity. The biological processes in which it is involved are not known. 2 alleles are reported. No phenotypic data is available. No phenotypic class data is available. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of no expression detected.  Peak expression observed in adult male stages.  		0.0	16	6	4	1	1	1	1	19	4	7	9	1	1	10	18
N0.HOG0000356	rna-NM_206368.2	FBgn0036495	This gene is referred to in FlyBase by the symbol Dmel\CG33259 (FBgn0036495). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:15407832..15408267. Its molecular function is described by: . It is involved in the biological process described with: sexual reproduction. 4 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of no expression detected.  Peak expression observed in adult male stages.  		0.0	16	6	4	1	1	1	1	19	4	7	9	1	1	10	18
N0.HOG0000356	rna-NM_079168.3	FBgn0020509	The gene Accessory gland protein 62F is referred to in FlyBase by the symbol Dmel\Acp62F (CG1262, FBgn0020509). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:2739750..2740228. Its molecular function is described by: serine-type endopeptidase inhibitor activity. It is involved in the biological process described with: sexual reproduction; negative regulation of proteolysis; sperm competition. 15 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: viable; lethal. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of no expression detected.  Peak expression observed in adult male stages.  		0.0	16	6	4	1	1	1	1	19	4	7	9	1	1	10	18
N0.HOG0000356	rna-NM_137310.3	FBgn0034154	This gene is referred to in FlyBase by the symbol Dmel\CG5267 (FBgn0034154). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:16755073..16755823. Its molecular function is unknown. It is involved in the biological process described with: sexual reproduction. 5 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of extremely low expression.  Peak expression observed in adult male stages.  		0.0	16	6	4	1	1	1	1	19	4	7	9	1	1	10	18
N0.HOG0000359	rna-NM_142579.4	FBgn0038738	This gene is referred to in FlyBase by the symbol Dmel\CG4572 (FBgn0038738). It is a protein_coding_gene from Dmel. It has 3 annotated transcripts and 3 polypeptides (1 unique). Gene sequence location is 3R:19862517..19864393. Its molecular function is described by: serine hydrolase activity; serine-type carboxypeptidase activity. It is involved in the biological process described with: proteolysis. 8 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: fertile; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of moderate expression.  Peak expression observed within 00-06 hour embryonic stages, during late larval stages, at stages throughout the pupal period, in stages of adults of both sexes.  		0.0	7	1	5	2	10	10	5	1	1	11	4	1	15	3	14
N0.HOG0000363	rna-NM_001111011.3	FBgn0039946	The gene (A+T)-stretch binding protein is referred to in FlyBase by the symbol Dmel\ATbp (CG17172, FBgn0039946). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is X:23106003..23108331. Its molecular function is described by: DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II cis-regulatory region sequence-specific DNA binding. It is involved in the biological process described with: regulation of transcription by RNA polymerase II; positive regulation of transcription by RNA polymerase II; regulation of DNA-templated transcription. 7 alleles are reported. The phenotype of these alleles manifest in: wing. The phenotypic class of alleles includes: visible. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of very low expression.  Peak expression observed within 00-12 hour embryonic stages, in adult female stages.  		0.0	1	42	1	1	1	1	1	25	1	1	1	4	1	2	41
N0.HOG0000381	rna-NM_135564.4	FBgn0027611	The gene Lysosomal alpha-mannosidase II is referred to in FlyBase by the symbol Dmel\LManII (CG6206, FBgn0027611). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (all unique). Gene sequence location is 2L:10457658..10462472. Its molecular function is described by: alpha-mannosidase activity; catalytic activity; mannosyl-oligosaccharide 1,2-alpha-mannosidase activity; carbohydrate binding. It is involved in the biological process described with: carbohydrate metabolic process; mannose metabolic process. 14 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of moderate expression.  Peak expression observed during late larval stages.  		0.018	3	5	4	4	2	1	1	14	6	6	1	9	1	15	14
N0.HOG0000381	rna-NM_135563.3	FBgn0032253	The gene Lysosomal alpha-mannosidase I is referred to in FlyBase by the symbol Dmel\LManI (CG5322, FBgn0032253). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 2L:10452677..10457241. Its molecular function is described by: alpha-mannosidase activity; catalytic activity; carbohydrate binding; mannosyl-oligosaccharide 1,2-alpha-mannosidase activity. It is involved in the biological process described with: carbohydrate metabolic process; mannose metabolic process. 9 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: viable; lethal; lethal - all die during embryonic stage; fertile. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of extremely low expression.  Peak expression observed during late larval stages, during early pupal stages.  		0.018	3	5	4	4	2	1	1	14	6	6	1	9	1	15	14
N0.HOG0000381	rna-NM_135409.3	FBgn0032069	The gene Lysosomal alpha-mannosidase VI is referred to in FlyBase by the symbol Dmel\LManVI (CG9468, FBgn0032069). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:8777661..8781252. Its molecular function is described by: alpha-mannosidase activity; catalytic activity; carbohydrate binding. It is involved in the biological process described with: mannose metabolic process; carbohydrate metabolic process. 7 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of extremely low expression.  Peak expression observed at stages throughout the larval period, in stages of adults of both sexes.  		0.018	3	5	4	4	2	1	1	14	6	6	1	9	1	15	14
N0.HOG0000381	rna-NM_001298834.1	FBgn0032068	The gene Lysosomal alpha-mannosidase V is referred to in FlyBase by the symbol Dmel\LManV (CG9466, FBgn0032068). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 2L:8772946..8776263. Its molecular function is described by: carbohydrate binding; catalytic activity; alpha-mannosidase activity. It is involved in the biological process described with: carbohydrate metabolic process; mannose metabolic process. 9 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of extremely low expression.  Peak expression observed at stages throughout the larval period, in adult male stages.  		0.018	3	5	4	4	2	1	1	14	6	6	1	9	1	15	14
N0.HOG0000381	rna-NM_135407.3	FBgn0032067	The gene Lysosomal alpha-mannosidase IV is referred to in FlyBase by the symbol Dmel\LManIV (CG9465, FBgn0032067). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:8769159..8772344. Its molecular function is described by: alpha-mannosidase activity; catalytic activity; carbohydrate binding. It is involved in the biological process described with: carbohydrate metabolic process; mannose metabolic process. 7 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of no expression detected.  Peak expression observed during late larval stages.  		0.018	3	5	4	4	2	1	1	14	6	6	1	9	1	15	14
N0.HOG0000381	rna-NM_001298833.1	FBgn0032066	The gene Lysosomal alpha-mannosidase III is referred to in FlyBase by the symbol Dmel\LManIII (CG9463, FBgn0032066). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 2L:8765273..8768710. Its molecular function is described by: carbohydrate binding; alpha-mannosidase activity; catalytic activity. It is involved in the biological process described with: mannose metabolic process; carbohydrate metabolic process. 8 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of no expression detected.  Peak expression observed during late larval stages.  		0.018	3	5	4	4	2	1	1	14	6	6	1	9	1	15	14
N0.HOG0000383	rna-NM_176375.2	FBgn0053054	The gene Terminal ADP-ribose protein glycohydrolase 1 is referred to in FlyBase by the symbol Dmel\Targ1 (CG33054, FBgn0053054). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (all unique). Gene sequence location is 3L:21197411..21202882. Its molecular function is described by: ADP-ribosylglutamate hydrolase activity; purine nucleoside binding; ADP-ribosyl-[dinitrogen reductase] hydrolase activity. It is involved in the biological process described with: purine nucleoside metabolic process; DNA damage response. 9 alleles are reported. The phenotypes of these alleles manifest in: mesonotum; chaeta. The phenotypic classes of alleles include: visible; viable; partially lethal - majority die; some die during pupal stage; fertile. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of very low expression.  Peak expression observed during late larval stages, at stages throughout the pupal period, in adult male stages.  		0.0	11	1	1	1	6	29	1	0	2	1	2	1	1	1	29
